Region,Availability Zone,Instance Name,Instance ID,Instance Type,Lifecycle,AMI ID,AMI Name
us-west-1,us-west-1b,prod-voice-plivobin,i-0ff8c886d8714064b,t3a.micro,On-demand,ami-09db31b680dc74d2f,plivo/amzn2-ami-ecs-hvm-2.0.1727248188-66f3b73c-31ba-939f-8068-d6b60a59910e-x86_64-ebs
us-west-1,us-west-1b,prod-voice-plivobin,i-0eab62c18606c3db9,t3a.micro,On-demand,ami-09db31b680dc74d2f,plivo/amzn2-ami-ecs-hvm-2.0.1727248188-66f3b73c-31ba-939f-8068-d6b60a59910e-x86_64-ebs
us-west-1,us-west-1b,ip-10-202-200-205.us-west-1.compute.internal,i-0f3c10b2ab8aaa59b,m6g.xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-241-143.us-west-1.compute.internal,i-007f97f2295e8cc80,t3.small,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,ip-10-202-249-85.us-west-1.compute.internal,i-0f81de5ae9ed14f83,c6gd.8xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-202-68.us-west-1.compute.internal,i-0a697d20d2ffe30c8,c6gd.8xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-204-86.us-west-1.compute.internal,i-07d5951c1e8223033,c6gd.8xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-247-252.us-west-1.compute.internal,i-06b009fc06834e17a,m6g.xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-215-152.us-west-1.compute.internal,i-020345009e70343d5,c6gd.8xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-254-7.us-west-1.compute.internal,i-029b9c08e05f2313f,m6g.xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-226-133.us-west-1.compute.internal,i-08888a6d5d98323a4,t3a.xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
